date,favorites,id,isRetweet,retweets,text
24/03/2020 14:00,99940,1242421041193980000,FALSE,18862,"The Defense Production Act is in full force, but haven’t had to use it because no one has said NO! Millions of masks coming as back up to States."
24/03/2020 13:43,48130,1242416827558490000,FALSE,10621,Keep Charlie Number One. Great Book! https://t.co/fG7YXOCk9R
24/03/2020 13:42,0,1242416380298900000,TRUE,12895,"RT @NanHayworth: Hey @TheDemocrats, what does the Kennedy Center have to do with COVID-19?

Asking for 327 million friends"
24/03/2020 13:40,0,1242416096956870000,TRUE,14097,RT @NikkiBAEley: When Nancy Pelosi receives a bill that will expedite relief to American workers but doesn't fund the Kennedy Center: https…
24/03/2020 13:34,0,1242414528031220000,TRUE,4800,"RT @Kristal2768: @kirstiealley @realDonaldTrump Love you Kirstie, don't be afraid to speak your mind!! @POTUS has done an a amazing job pro…"
24/03/2020 13:32,61063,1242414001562290000,FALSE,12644,Thank you Kirstie! https://t.co/EHQHglKDCN
24/03/2020 13:19,36907,1242410695188190000,FALSE,9167,Buy the book and give Liz some Great Reviews! @OANN https://t.co/i43jDiSg1P
24/03/2020 13:11,0,1242408742643260000,TRUE,9825,RT @miblogestublog: Dr. Fauci is all of us <U+0001F926><U+0001F3FC><U+200D><U+2642><U+FE0F> https://t.co/WTShJUchsr
24/03/2020 13:06,0,1242407371168750000,TRUE,4770,RT @GrahamLedger: R. E. S. P. E. C. T. LOL. #QuaratineLife
24/03/2020 13:01,0,1242406064462720000,TRUE,7510,"RT @AnnCoulter: ""the chance of dying is ... about 0.45 percent – very far from the World Health Organization’s [global mortality] figure of…"
24/03/2020 12:58,41183,1242405446041900000,FALSE,8004,A respected coal miner and great dad! Rest In Peace! https://t.co/4xMeHJKxuk
24/03/2020 12:51,75008,1242403723932040000,FALSE,18730,The Media is hopeless. Too bad! https://t.co/VYXUbdO7Ms
24/03/2020 12:48,0,1242402906965510000,TRUE,9057,"RT @RealJamesWoods: Dr. Birx is a sober, professional thinker and analyst. I feel confident having her as an essential part of our team."
24/03/2020 12:48,40196,1242402843887360000,FALSE,10303,Thank you Tony! https://t.co/U5XxzeQzXJ
24/03/2020 12:38,0,1242400471962310000,TRUE,14514,RT @RealJamesWoods: Voter fraud by Democrats is the second most dangerous thing to happen to America since this virus.
24/03/2020 12:14,61602,1242394374224390000,FALSE,13115,"The World market for face masks and ventilators is Crazy. We are helping the states to get equipment, but it is not easy. Just got 400 Ventilators for @NYCMayor Bill de Blasio. Work beginning on 4 hospitals in New York! Millions of different type items coming!"
